
# CAT Stock - Sorted by Distance from 150-Day SMA

## Most Below SMA (Bottom 20)

| Rank | Date | Price | 150-Day SMA | Distance ($) | Distance (%) |
| 153 | 2025-12-18 | $565.83 | $459.96 | +$105.87 | +23.02% |
| 154 | 2025-07-31 | $438.02 | $355.50 | +$82.52 | +23.21% |
| 155 | 2025-12-29 | $578.61 | $469.29 | +$109.32 | +23.30% |
| 156 | 2026-01-07 | $596.52 | $479.22 | +$117.30 | +24.48% |
| 157 | 2025-12-26 | $583.00 | $467.72 | +$115.28 | +24.65% |
| 158 | 2025-09-25 | $463.72 | $371.46 | +$92.26 | +24.84% |
| 159 | 2025-12-19 | $576.22 | $461.44 | +$114.78 | +24.87% |
| 160 | 2025-09-26 | $465.76 | $372.30 | +$93.46 | +25.10% |
| 161 | 2025-12-24 | $583.76 | $466.14 | +$117.62 | +25.23% |
| 162 | 2025-12-23 | $582.42 | $464.53 | +$117.89 | +25.38% |
| 163 | 2026-01-23 | $626.62 | $499.52 | +$127.10 | +25.44% |
| 164 | 2025-12-22 | $582.41 | $462.97 | +$119.44 | +25.80% |
| 165 | 2026-01-02 | $598.41 | $473.93 | +$124.48 | +26.27% |
| 166 | 2025-09-29 | $471.61 | $373.19 | +$98.42 | +26.37% |
| 167 | 2026-01-08 | $608.13 | $480.94 | +$127.19 | +26.45% |
| 168 | 2025-09-19 | $466.54 | $368.35 | +$98.19 | +26.66% |
| 169 | 2025-09-24 | $469.79 | $370.70 | +$99.09 | +26.73% |
| 170 | 2026-01-26 | $635.92 | $501.35 | +$134.57 | +26.84% |
| 171 | 2026-01-27 | $638.91 | $503.17 | +$135.74 | +26.98% |
| 172 | 2025-09-18 | $466.96 | $367.59 | +$99.37 | +27.03% |
| 173 | 2026-01-20 | $629.00 | $493.92 | +$135.08 | +27.35% |
| 174 | 2026-01-28 | $643.28 | $504.97 | +$138.31 | +27.39% |
| 175 | 2026-01-28 | $643.28 | $504.97 | +$138.31 | +27.39% |
| 176 | 2025-09-23 | $471.26 | $369.92 | +$101.34 | +27.40% |
| 177 | 2025-09-30 | $477.15 | $374.08 | +$103.07 | +27.55% |
| 178 | 2025-09-22 | $472.10 | $369.14 | +$102.96 | +27.89% |
| 179 | 2026-01-09 | $617.62 | $482.74 | +$134.88 | +27.94% |
| 180 | 2025-11-20 | $546.13 | $426.28 | +$119.85 | +28.12% |
| 181 | 2025-10-01 | $480.82 | $375.01 | +$105.81 | +28.22% |
| 182 | 2025-10-07 | $486.71 | $379.19 | +$107.52 | +28.36% |
| 183 | 2025-10-10 | $491.30 | $382.28 | +$109.02 | +28.52% |
| 184 | 2025-11-21 | $550.43 | $428.05 | +$122.38 | +28.59% |
| 185 | 2025-12-16 | $588.93 | $457.10 | +$131.83 | +28.84% |
| 186 | 2026-01-30 | $657.36 | $508.77 | +$148.59 | +29.21% |
| 187 | 2026-01-30 | $657.36 | $508.77 | +$148.59 | +29.21% |
| 188 | 2025-11-18 | $546.88 | $422.85 | +$124.03 | +29.33% |
| 189 | 2025-12-15 | $589.76 | $455.53 | +$134.23 | +29.47% |
| 190 | 2026-01-05 | $616.10 | $475.72 | +$140.38 | +29.51% |
| 191 | 2026-01-12 | $629.77 | $484.58 | +$145.19 | +29.96% |
| 192 | 2025-12-01 | $568.06 | $436.96 | +$131.10 | +30.00% |
| 193 | 2026-01-21 | $645.38 | $495.80 | +$149.58 | +30.17% |
| 194 | 2025-11-24 | $559.60 | $429.84 | +$129.76 | +30.19% |
| 195 | 2026-01-22 | $648.41 | $497.74 | +$150.67 | +30.27% |
| 196 | 2025-11-19 | $553.11 | $424.60 | +$128.51 | +30.27% |
| 197 | 2026-01-06 | $623.09 | $477.57 | +$145.52 | +30.47% |
| 198 | 2025-10-02 | $490.57 | $376.01 | +$114.56 | +30.47% |
| 199 | 2026-01-14 | $638.75 | $488.30 | +$150.45 | +30.81% |
| 200 | 2026-01-13 | $636.53 | $486.43 | +$150.10 | +30.86% |
| 201 | 2025-10-06 | $495.38 | $378.12 | +$117.26 | +31.01% |
| 202 | 2025-10-22 | $513.91 | $392.22 | +$121.69 | +31.03% |
| 203 | 2025-11-17 | $552.05 | $421.16 | +$130.89 | +31.08% |
| 204 | 2025-10-09 | $500.36 | $381.34 | +$119.02 | +31.21% |
| 205 | 2026-01-29 | $665.24 | $506.93 | +$158.31 | +31.23% |
| 206 | 2026-01-29 | $665.24 | $506.93 | +$158.31 | +31.23% |
| 207 | 2026-02-05 | $678.31 | $516.78 | +$161.53 | +31.26% |
| 208 | 2026-02-05 | $678.31 | $516.78 | +$161.53 | +31.26% |
| 209 | 2025-11-25 | $566.61 | $431.65 | +$134.96 | +31.27% |
| 210 | 2026-01-16 | $646.89 | $492.10 | +$154.79 | +31.45% |
| 211 | 2025-10-13 | $504.76 | $383.35 | +$121.41 | +31.67% |
| 212 | 2025-12-12 | $597.89 | $453.88 | +$144.01 | +31.73% |
| 213 | 2026-01-15 | $647.18 | $490.20 | +$156.98 | +32.02% |
| 214 | 2025-10-08 | $502.12 | $380.28 | +$121.84 | +32.04% |
| 215 | 2025-10-03 | $497.85 | $377.04 | +$120.81 | +32.04% |
| 216 | 2025-10-28 | $524.47 | $397.14 | +$127.33 | +32.06% |
| 217 | 2025-11-14 | $554.03 | $419.47 | +$134.56 | +32.08% |
| 218 | 2025-11-28 | $575.76 | $435.22 | +$140.54 | +32.29% |
| 219 | 2025-10-23 | $520.50 | $393.45 | +$127.05 | +32.29% |
| 220 | 2025-11-26 | $573.73 | $433.43 | +$140.30 | +32.37% |
| 221 | 2025-10-24 | $522.73 | $394.69 | +$128.04 | +32.44% |
| 222 | 2025-11-13 | $553.55 | $417.73 | +$135.82 | +32.51% |
| 223 | 2025-12-09 | $594.36 | $448.09 | +$146.27 | +32.64% |
| 224 | 2025-12-02 | $582.47 | $438.80 | +$143.67 | +32.74% |
| 225 | 2025-10-27 | $527.07 | $395.93 | +$131.14 | +33.12% |
| 226 | 2025-12-08 | $596.50 | $446.26 | +$150.24 | +33.67% |
| 227 | 2025-10-21 | $524.65 | $391.05 | +$133.60 | +34.16% |
| 228 | 2025-12-03 | $591.49 | $440.68 | +$150.81 | +34.22% |
| 229 | 2026-02-04 | $691.82 | $514.91 | +$176.91 | +34.36% |
| 230 | 2026-02-04 | $691.82 | $514.91 | +$176.91 | +34.36% |
| 231 | 2025-11-04 | $547.58 | $405.10 | +$142.48 | +35.17% |
| 232 | 2026-02-02 | $690.91 | $510.81 | +$180.10 | +35.26% |
| 233 | 2026-02-02 | $690.91 | $510.81 | +$180.10 | +35.26% |
| 234 | 2025-12-04 | $599.15 | $442.58 | +$156.57 | +35.38% |
| 235 | 2025-10-17 | $527.08 | $388.54 | +$138.54 | +35.66% |
| 236 | 2025-12-05 | $603.17 | $444.44 | +$158.73 | +35.71% |
| 237 | 2025-10-20 | $531.18 | $389.80 | +$141.38 | +36.27% |
| 238 | 2025-12-10 | $615.35 | $450.05 | +$165.30 | +36.73% |
| 239 | 2026-02-03 | $702.89 | $512.91 | +$189.98 | +37.04% |
| 240 | 2026-02-03 | $702.89 | $512.91 | +$189.98 | +37.04% |
| 241 | 2025-11-11 | $567.93 | $414.15 | +$153.78 | +37.13% |
| 242 | 2025-10-14 | $527.47 | $384.60 | +$142.87 | +37.15% |
| 243 | 2025-11-07 | $563.10 | $410.25 | +$152.85 | +37.26% |
| 244 | 2025-11-12 | $573.02 | $415.97 | +$157.05 | +37.76% |
| 245 | 2025-12-11 | $625.61 | $452.06 | +$173.55 | +38.39% |
| 246 | 2025-10-15 | $534.05 | $385.90 | +$148.15 | +38.39% |
| 247 | 2025-11-10 | $570.85 | $412.19 | +$158.66 | +38.49% |
| 248 | 2025-11-06 | $569.78 | $408.42 | +$161.36 | +39.51% |
| 249 | 2025-10-16 | $540.96 | $387.29 | +$153.67 | +39.68% |
| 250 | 2026-02-06 | $726.20 | $518.97 | +$207.23 | +39.93% |
| 251 | 2026-02-06 | $726.20 | $518.97 | +$207.23 | +39.93% |
| 252 | 2025-11-05 | $569.15 | $406.66 | +$162.49 | +39.96% |
| 253 | 2025-11-03 | $570.59 | $403.65 | +$166.94 | +41.36% |
| 254 | 2026-02-10 | $742.37 | $523.63 | +$218.74 | +41.77% |
| 255 | 2026-02-10 | $742.37 | $523.63 | +$218.74 | +41.77% |
| 256 | 2026-02-09 | $742.12 | $521.31 | +$220.81 | +42.36% |
| 257 | 2026-02-09 | $742.12 | $521.31 | +$220.81 | +42.36% |
| 258 | 2025-10-31 | $577.26 | $402.05 | +$175.21 | +43.58% |
| 259 | 2025-10-30 | $583.15 | $400.40 | +$182.76 | +45.64% |
| 260 | 2025-10-29 | $585.49 | $398.77 | +$186.72 | +46.82% |
